date, pm10, o3, no2, so2, co
2019/3/14, 12, 31, , 1, 
2019/3/15, 12, 33, , 2, 
2019/3/16, 12, 41, , 1, 
2019/3/17, 11, 35, , 4, 
2019/3/18, 16, 30, , 6, 
2019/3/19, 30, 29, , 6, 
2019/3/20, 49, 25, , 6, 
2019/3/21, 46, 20, , 6, 
2019/3/22, 49, 24, , 4, 
2019/3/23, 43, 29, , 4, 
2019/3/24, 38, 28, , 2, 
2019/3/25, 25, 31, , 1, 
2019/3/26, 19, 32, , 4, 
2019/3/27, 35, 21, , 5, 
2019/3/28, 41, 26, , 5, 
2019/3/29, 46, 33, , 5, 
2019/3/30, 46, 41, , 3, 
2019/3/31, 31, 36, , 3, 
2018/10/1, 24, 23, , 1, 
2018/10/2, 14, 24, , 1, 
2018/10/3, 12, 23, , 2, 
2018/10/4, 18, 28, , 2, 
2018/10/5, 20, 39, , 2, 
2018/10/6, 19, 38, , 4, 
2018/10/7, 32, 16, , 3, 
2018/10/8, 28, 16, , 2, 
2018/10/9, 35, 23, , 2, 
2018/10/10, 34, 25, , 1, 
2018/10/11, 34, 29, , 2, 
2018/10/12, 34, 31, , 3, 
2018/10/13, 45, 26, , 1, 
2018/10/14, 28, 25, , 2, 
2018/10/15, 33, 30, , 2, 
2018/10/16, 35, 19, , 3, 
2018/10/17, 53, 13, , 5, 
2018/10/18, 61, 12, , 3, 
2018/10/19, 71, 18, , 3, 
2018/10/20, 48, 17, , 3, 
2018/10/21, 33, 11, , 4, 
2018/10/22, 43, 24, , 2, 
2018/10/23, 15, 27, , 2, 
2018/10/24, 12, 25, , 3, 
2018/10/25, 13, 22, , 2, 
2018/10/26, 13, 23, , 2, 
2018/10/27, 25, 20, , 2, 
2018/10/28, 23, 16, , 3, 
2018/10/29, 32, 35, , 1, 
2018/10/30, 23, 33, , 1, 
2018/10/31, 16, 33, , 2, 
2018/11/1, 39, 29, , 2, 
2018/11/2, 44, 6, , 2, 
2018/11/3, 39, 6, , 2, 
2018/11/4, 32, 6, , 3, 
2018/11/5, 42, 30, , 4, 
2018/11/6, 31, 30, , 3, 
2018/11/7, 28, 21, , 4, 
2018/11/8, 51, 5, , 5, 
2018/11/9, 62, 13, , 5, 
2018/11/10, 58, 28, , 3, 
2018/11/11, 32, 27, , 2, 
2018/11/12, 22, 28, , 6, 
2018/11/13, 36, 18, , 3, 
2018/11/14, 27, 14, , 5, 
2018/11/15, 41, 11, , 4, 
2018/11/16, 29, 13, , 5, 
2018/11/17, 40, 11, , 12, 
2018/11/18, 63, 13, , 7, 
2018/11/19, 50, 9, , 6, 
2018/11/20, 46, 8, , 5, 
2018/11/21, 48, 7, , 7, 
2018/11/22, 61, 2, , 11, 
2018/11/23, 98, 12, , 6, 
2018/11/24, 48, 5, , 6, 
2018/11/25, 37, 10, , 3, 
2018/11/26, 28, 12, , 5, 
2018/11/27, 37, 15, , 7, 
2018/11/28, 51, 12, , 9, 
2018/11/29, 60, 17, , 5, 
2018/11/30, 31, 17, , 5, 
2018/12/1, 38, 21, , 3, 
2018/12/2, 20, 20, , 2, 
2018/12/3, 10, 20, , 2, 
2018/12/4, 16, 19, , 6, 
2018/12/5, 44, 20, , 4, 
2018/12/6, 31, 21, , 1, 
2018/12/7, 8, 24, , 1, 
2018/12/8, 12, 27, , 2, 
2018/12/9, 5, 24, , 4, 
2018/12/10, 14, 23, , 5, 
2018/12/11, 18, 5, , 6, 
2018/12/12, 40, 9, , 6, 
2018/12/13, 60, 10, , 6, 
2018/12/14, 37, 12, , 5, 
2018/12/15, 31, 10, , 12, 
2018/12/16, 62, 8, , 10, 
2018/12/17, 52, 11, , 12, 
2018/12/18, 69, 15, , 14, 
2018/12/19, 85, 19, , 9, 
2018/12/20, 40, 31, , 2, 
2018/12/21, 11, 28, , 2, 
2018/12/22, 10, 25, , 3, 
2018/12/23, 13, 26, , 3, 
2018/12/24, 13, 26, , 4, 
2018/12/25, 18, 23, , 4, 
2018/12/26, 21, , , 5, 
2018/12/27, 16, 9, , 4, 
2018/12/28, 28, 17, , 3, 
2018/12/29, 20, 15, , 3, 
2018/12/30, 15, , , , 
2018/7/1, 10, 30, , 1, 
2018/7/2, 10, 41, , 2, 
2018/7/3, 14, 56, , 2, 
2018/7/4, 17, 72, , 2, 
2018/7/5, 24, 59, , 1, 
2018/7/6, 20, 41, , 2, 
2018/7/7, 17, 37, , 2, 
2018/7/8, 17, 42, , 2, 
2018/7/9, 23, 39, , 1, 
2018/7/10, 19, 21, , 1, 
2018/7/11, 17, 34, , 1, 
2018/7/12, 9, 34, , 1, 
2018/7/13, 10, 38, , 1, 
2018/7/14, 15, 37, , 1, 
2018/7/15, 15, 36, , 1, 
2018/7/16, 15, 24, , 1, 
2018/7/17, 14, 24, , , 
2018/7/18, 7, 23, , , 
2018/7/19, 12, 30, , , 
2018/7/20, 20, 50, , 1, 
2018/7/21, 22, 41, , , 
2018/7/22, 19, 43, , 2, 
2018/7/23, 26, 51, , 2, 
2018/7/24, 28, 42, , 2, 
2018/7/25, 25, 29, , 1, 
2018/7/26, 18, 34, , 1, 
2018/7/27, 16, 35, , 1, 
2018/7/28, 16, 45, , 1, 
2018/7/29, 16, 39, , 1, 
2018/7/30, 19, 38, , 1, 
2018/7/31, 20, 38, , , 
2018/8/1, 22, 44, , 1, 
2018/8/2, 23, 49, , 1, 
2018/8/3, 22, 49, , 1, 
2018/8/4, 20, 46, , 1, 
2018/8/5, 18, 40, , 2, 
2018/8/6, 17, 43, , 1, 
2018/8/7, 15, 39, , 1, 
2018/8/8, 17, 47, , 1, 
2018/8/9, 21, 43, , 1, 
2018/8/10, 25, 27, , 1, 
2018/8/11, 13, 39, , 1, 
2018/8/12, 13, 41, , , 
2018/8/13, 18, 40, , 1, 
2018/8/14, 23, 32, , , 
2018/8/15, 10, 37, , 1, 
2018/8/16, 15, 40, , , 
2018/8/17, 14, 51, , 2, 
2018/8/18, 22, 61, , 1, 
2018/8/19, 24, 48, , 1, 
2018/8/20, 20, 34, , 1, 
2018/8/21, 18, 39, , 1, 
2018/8/22, 16, 48, , 1, 
2018/8/23, 21, 46, , 1, 
2018/8/24, 22, 30, , , 
2018/8/25, 12, 21, , 1, 
2018/8/26, 9, 29, , 1, 
2018/8/27, 12, 29, , 1, 
2018/8/28, 17, 37, , 1, 
2018/8/29, 20, 45, , 1, 
2018/8/30, 17, 35, , , 
2018/8/31, 16, 38, , , 
2018/9/1, 25, 29, , , 
2018/9/2, 21, 35, , 1, 
2018/9/3, 21, 29, , 1, 
2018/9/4, 13, 26, , 1, 
2018/9/5, 29, 34, , 3, 
2018/9/6, 26, 39, , 1, 
2018/9/7, 21, 24, , 1, 
2018/9/8, 27, 40, , 1, 
2018/9/9, 19, 39, , 2, 
2018/9/10, 21, 34, , 1, 
2018/9/11, 17, 40, , 1, 
2018/9/12, 20, 42, , 2, 
2018/9/13, 32, 16, , 1, 
2018/9/14, 31, 24, , 1, 
2018/9/15, 11, 31, , 1, 
2018/9/16, 14, 36, , 1, 
2018/9/17, 17, 41, , 1, 
