date,pm10,o3,no2,so2,co,city,pm25
2017-4-14,,, 16,, 4,wroclaw, 36
2017-4-15,,, 8,, 3,wroclaw, 44
2017-4-16,,, 15,, 3,wroclaw, 43
2017-4-18,,, 18,, 3,wroclaw, 63
2017-4-19,,, 23,, 4,wroclaw, 54
2017-4-20,,, 21,, 4,wroclaw, 65
2017-4-21,,, 12,, 3,wroclaw, 70
2017-4-22,,, 10,, 3,wroclaw, 40
2017-4-23,,, 22,, 4,wroclaw, 28
2017-4-24,,, 24,, 4,wroclaw, 48
2017-4-25,,, 26,, 4,wroclaw, 56
2017-4-26,,, 26,, 5,wroclaw, 56
2017-4-27,,, 23,, 4,wroclaw, 74
2017-4-28,,, 19,, 4,wroclaw, 65
2017-4-29,,, 14,, 4,wroclaw, 74
2017-4-30,,, 8,, 3,wroclaw, 65
2017-5-1,,, 16,, 5,wroclaw, 49
2017-5-2,,, 13,, 5,wroclaw, 75
2017-5-3,,, 21,, 5,wroclaw, 85
2017-5-4,,, 29,, 6,wroclaw, 68
2017-5-5,,, 19,, 4,wroclaw, 92
2017-5-6,,, 12,, 3,wroclaw, 81
2017-5-7,,, 20,, 3,wroclaw, 60
2017-5-8,,, 19,, 3,wroclaw, 35
2017-5-9,,, 25,, 3,wroclaw, 40
2017-5-10,,, 28,, 3,wroclaw, 57
2017-5-11,,, 26,, 4,wroclaw, 56
2017-5-12,,, 22,, 3,wroclaw, 79
2017-5-13,,, 14,, 3,wroclaw, 64
2017-5-14,,, 21,, 3,wroclaw, 62
2017-5-15,,, 24,, 3,wroclaw, 59
2017-5-16,,, 29,, 4,wroclaw, 56
2017-5-17,,, 27,, 4,wroclaw, 62
2017-5-18,,, 27,, 3,wroclaw, 68
2017-5-19,,, 14,, 2,wroclaw, 59
2017-5-20,,, 11,, 1,wroclaw, 45
2017-5-21,,, 24,, 3,wroclaw, 27
2017-5-22,,, 33,, 4,wroclaw, 39
2017-5-23,,, 19,, 2,wroclaw, 66
2017-5-24,,, 21,, 3,wroclaw, 50
2017-5-25,,, 23,, 3,wroclaw, 50
2017-5-26,,, 23,, 3,wroclaw, 48
2017-5-27,,, 17,, 3,wroclaw, 44
2017-5-28,,, 29,, 4,wroclaw, 43
2017-5-29,,, 28,, 5,wroclaw, 49
2017-5-30,,, 18,, 3,wroclaw, 65
2017-5-31,,, 22,, 2,wroclaw, 43
2017-6-1,,, 25,, 2,wroclaw, 45
2017-6-2,,, 24,, 3,wroclaw, 43
2017-6-3,,, 14,, 3,wroclaw, 50
2017-6-4,,, 22,, 3,wroclaw, 52
2017-6-5,,, 26,, 4,wroclaw, 46
2017-6-6,,, 20,, 3,wroclaw, 53
2017-6-7,,, 22,, 3,wroclaw, 30
2017-6-8,,, 27,, 4,wroclaw, 42
2017-6-12,,, 16,, 2,wroclaw, 52
2017-6-13,,, 19,, 3,wroclaw, 43
2017-6-14,,, 17,, 3,wroclaw, 43
2017-6-15,,, 14,, 3,wroclaw, 36
2017-6-16,,, 11,, 3,wroclaw, 41
2017-6-17,,, 15,, 3,wroclaw, 37
2017-6-18,,, 26,, 4,wroclaw, 43
2017-6-19,,, 24,, 4,wroclaw, 44
2017-6-20,,, 22,, 3,wroclaw, 38
2017-6-21,,, 29,, 4,wroclaw, 25
2017-6-22,,, 21,, 4,wroclaw, 45
2017-6-23,,, 20,, 3,wroclaw, 41
2017-6-24,,, 14,, 3,wroclaw, 40
2017-6-25,,, 19,, 3,wroclaw, 29
2017-6-26,,, 29,, 4,wroclaw, 28
2017-6-27,,, 29,, 5,wroclaw, 40
2017-6-28,,, 19,, 3,wroclaw, 59
2017-6-29,,, 20,, 3,wroclaw, 29
2017-6-30,,, 15,, 2,wroclaw, 32
2017-1-2,,, 16,, 5,wroclaw, 85
2017-1-3,,, 12,, 4,wroclaw, 41
2017-1-4,,, 18,, 5,wroclaw, 26
2017-1-5,,, 11,, 4,wroclaw, 37
2017-1-6,,, 19,, 7,wroclaw, 46
2017-1-7,,, 20,, 9,wroclaw, 103
2017-1-8,,, 25,, 14,wroclaw, 146
2017-1-9,,, 26,, 10,wroclaw, 194
2017-1-10,,, 21,, 7,wroclaw, 166
2017-1-11,,, 20,, 6,wroclaw, 96
2017-1-12,,, 19,, 6,wroclaw, 56
2017-1-13,,, 20,, 7,wroclaw, 49
2017-1-14,,, 17,, 6,wroclaw, 67
2017-1-15,,, 25,, 8,wroclaw, 52
2017-1-16,,, 25,, 8,wroclaw, 88
2017-1-17,,, 24,, 8,wroclaw, 124
2017-1-18,,, 21,, 8,wroclaw, 151
2017-1-19,,, 30,, 10,wroclaw, 149
2017-1-20,,, 26,, 8,wroclaw, 141
2017-1-21,,, 23,, 8,wroclaw, 108
2017-1-22,,, 33,, 9,wroclaw, 164
2017-1-23,,, 23,, 7,wroclaw, 151
2017-1-24,,, 25,, 8,wroclaw, 132
2017-1-25,,, 24,, 9,wroclaw, 135
2017-1-26,,, 32,, 9,wroclaw, 157
2017-1-27,,, 27,, 10,wroclaw, 161
2017-1-28,,, 27,, 11,wroclaw, 163
2017-1-29,,, 31,, 12,wroclaw, 173
2017-1-30,,, 25,, 8,wroclaw, 170
2017-1-31,,, 30,, 15,wroclaw, 124
2017-2-1,,, 29,, 11,wroclaw, 160
2017-2-2,,, 27,, 11,wroclaw, 164
