date, pm25, pm10, o3, no2, so2, co
2020/6/10, , , , 5, , 3
2020/6/11, , , , 2, , 4
2020/6/12, , , , 4, , 4
2020/6/13, , , , 2, , 3
2020/6/14, , , , 2, , 3
2020/6/15, , , , 4, , 3
2020/6/16, , , , 10, , 4
2020/6/17, , , , 8, , 4
2020/6/18, , , , 5, , 4
2020/6/19, , , , 5, , 4
2020/6/20, , , , 2, , 4
2020/6/21, , , , 1, , 3
2020/6/22, , , , 3, , 3
2020/6/23, , , , 6, , 3
2020/6/24, , , , 6, , 4
2020/6/25, , , , 3, , 4
2020/6/26, , , , 6, , 3
2020/6/27, , , , 3, , 3
2020/6/28, , , , 4, , 3
2020/6/29, , , , 8, , 3
2020/6/30, , , , 9, , 3
2020/1/1, , , , 4, , 3
2020/1/2, , , , 17, , 6
2020/1/7, , , , 13, , 5
2020/1/8, , , , 12, , 5
2020/1/9, , , , 10, , 5
2020/1/10, , , , 11, , 5
2020/1/11, , , , 8, , 4
2020/1/12, , , , 6, , 4
2020/1/13, , , , 13, , 5
2020/1/14, , , , 11, , 5
2020/1/15, , , , 12, , 6
2020/1/16, , , , 18, , 9
2020/1/17, , , , 14, , 8
2020/1/18, , , , 11, , 6
2020/1/19, , , , 10, , 6
2020/1/20, , , , 13, , 6
2020/1/21, , , , 11, , 5
2020/1/22, , , , 12, , 6
2020/1/23, , , , 15, , 4
2020/1/24, , , , 15, , 3
2020/1/25, , , , 10, , 2
2020/1/26, , , , 10, , 3
2020/1/27, , , , 14, , 4
2020/1/28, , , , 9, , 2
2020/1/29, , , , 9, , 2
2020/1/30, , , , 9, , 2
2020/1/31, , , , 8, , 2
2020/2/1, , , , 7, , 3
2020/2/2, , , , 4, , 2
2020/2/3, , , , 13, , 3
2020/2/4, , , , 8, , 2
2020/2/5, , , , 7, , 2
2020/2/6, , , , 8, , 3
2020/2/7, , , , 10, , 3
2020/2/8, , , , 15, , 5
2020/2/9, , , , 5, , 4
2020/2/10, , , , 6, , 3
2020/2/11, , , , 5, , 3
2020/2/12, , , , 6, , 3
2020/2/13, , , , 11, , 3
2020/2/14, , , , 15, , 5
2020/2/15, , , , 9, , 4
2020/2/16, , , , 4, , 4
2020/2/17, , , , 10, , 4
2020/2/18, , , , 10, , 4
2020/2/19, , , , 9, , 4
2020/2/20, , , , 9, , 4
2020/2/21, , , , 8, , 4
2020/2/22, , , , 7, , 4
2020/2/23, , , , 5, , 4
2020/2/24, , , , 7, , 4
2020/2/25, , , , 10, , 5
2020/2/26, , , , 14, , 5
2020/2/27, , , , 12, , 5
2020/2/28, , , , 14, , 6
2020/2/29, , , , 6, , 5
2020/3/1, , , , 5, , 5
2020/3/2, , , , 14, , 6
2020/3/3, , , , 12, , 7
2020/3/4, , , , 14, , 6
2020/3/5, , , , 11, , 6
2020/3/6, , , , 9, , 6
2020/3/7, , , , 7, , 6
2020/3/8, , , , 7, , 5
2020/3/9, , , , 13, , 6
2020/3/10, , , , 8, , 6
2020/3/11, , , , 7, , 5
2020/3/12, , , , 6, , 5
2020/3/13, , , , 6, , 5
2020/3/14, , , , 6, , 5
2020/3/15, , , , 5, , 6
2020/3/16, , , , 11, , 6
2020/3/17, , , , 14, , 8
